1,4,0.03,11,0,2,4,1,0.56015
2,4,0.03,2,0,1,3,1,0.79484
3,4,0.03,11,1,2,3,1,0.57014
4,4,0.03,10,0,2,1,1,0.50502
5,4,0.03,16,0,2,2,0,2.3463
6,4,0.03,18,0,3,3,1,0.87408
7,4,0.03,21,0,3,3,1,0.82908
8,4,0.03,23,0,3,1,0,0.61399
9,4,0.03,18,1,3,1,1,0.67171
10,4,0.03,5,0,1,1,1,0.58802
11,4,0.03,4,0,1,2,0,1.2521
12,4,0.03,19,0,3,4,1,0.49564
13,4,0.03,18,2,3,2,0,0.50958
14,4,0.03,10,1,2,3,1,0.76736
15,4,0.03,6,0,1,2,0,3.8838
16,4,0.03,8,0,1,4,1,0.59197
17,4,0.03,3,0,1,2,1,0.88503
18,4,0.03,11,2,2,2,1,0.63257
19,4,0.03,14,0,2,1,1,0.64393
20,4,0.03,4,1,1,2,1,0.79858
21,4,0.03,15,0,2,1,1,0.61392
